AC,CB,G,MnO2,Pour Density,Surface Area,Dry Conductivity,Electrolye Uptake,Water Uptake,Voltage Drop,Cell Resistance,Wet Conductivity,Max Current,Capacity
33.33,33.33,33.33,80,0.861879856,74.20336,0.143558219,21.61422709,27.63772176,0.065784848,0.093497405,10.69548403,4.699411765,3.585
60,20,20,80,0.910809302,96.1352,0.070558555,23.87596899,31.55021834,0.070698373,0.048902353,20.44891391,3.659411765,4.945
15,43,42,80,0.829174651,59.20086,0.25517103,16.87413555,20.9486166,0.029336359,0.007932167,126.0689553,10.80970588,5.925
28,27,45,80,0.836925349,68.6104,0.281012587,17.88413098,26.72253259,0.044726341,0.023557599,42.44914775,6.827794118,5.07
46,46,8,80,0.917302791,87.18324,0.16322722,18.77470356,26.89265537,0.045368073,0.022826504,43.80872311,6.439411765,6.085
12,55,33,80,0.841445349,58.14864,0.582430397,15.72254335,21.8404908,0.026186704,0.006302841,158.6586039,12.39470588,5.115
13,22,65,80,0.788277674,54.5925,0.431932016,16.96113074,22.4916388,0.037129407,0.018291865,54.66911186,8.385,4.345
9,68,23,80,0.855408372,57.23114,0.276323551,14.03508772,25.82480091,0.031110099,0.008792133,113.7380438,11.27794118,6.3
80,5,15,80,0.939005814,111.9068,0.043787781,22.81976744,33.48571429,0.123107649,0.167477512,5.970950883,1.560294118,0.0525
35,50,15,80,0.894602326,77.9363,0.215602961,17.41935484,26.70454545,0.037785844,0.013673857,73.13225304,8.028970588,6.1525
38,24,38,80,0.85863907,77.10244,0.166500392,17.39130435,26.89530686,0.06243375,0.047104081,21.22958308,4.641029412,3.8975
6,78,16,80,0.864294419,55.90948,0.797519662,14.44444444,22.36095346,0.020847892,0.004866106,205.5031482,15.97867647,7.01
7,88,5,80,0.883896744,58.1463,0.947690089,11.95286195,21.88328912,0.020292979,0.004255872,234.9694985,16.64196078,8.54
16,32,52,80,0.81323814,58.60856,0.57219607,14.28571429,22.73730684,0.030474831,0.008786195,113.8149172,10.24602941,6.065
26,46,28,80,0.863721395,69.39084,0.326878777,16.2109375,31.15124153,0.037089956,0.013165646,75.95525613,8.318382353,6.3575
70,15,15,80,0.929138372,104.3578,0.068915048,21.82835821,32.41706161,0.099222917,0.104111152,9.60511894,2.186323529,6.29
60,10,30,80,0.893886047,94.788,0.10922822,21.22370937,29.09090909,0.077283602,0.058530001,17.0852552,3.265735294,4.665
25,7,68,80,0.795041628,63.24714,0.297051661,17.76649746,27.44886975,0.05624152,0.039154248,25.54001277,5.265735294,3.7025
