AC,CB,G,MnO2,Pour Density,Surface Area,Dry Conductivity,Electrolye Uptake,Water Uptake,Voltage Drop,Wet Conductivity,Max Current,Capacity
33.33,33.33,33.33,80,0.519219391,49.06176,0.143558219,21.61422709,27.63772176,0.065784848,10.69548403,4.699411765,3.585
60,20,20,80,0.568148837,70.9936,0.070558555,23.87596899,31.55021834,0.070698373,20.44891391,3.659411765,4.945
15,43,42,80,0.486514186,34.05926,0.25517103,16.87413555,20.9486166,0.029336359,126.0689553,10.80970588,5.925
28,27,45,80,0.494264884,43.4688,0.281012587,17.88413098,26.72253259,0.044726341,42.44914775,6.827794118,5.07
46,46,8,80,0.574642326,62.04164,0.16322722,18.77470356,26.89265537,0.045368073,43.80872311,6.439411765,6.085
12,55,33,80,0.498784884,33.00704,0.582430397,15.72254335,21.8404908,0.026186704,158.6586039,12.39470588,5.115
13,22,65,80,0.445617209,29.4509,0.431932016,16.96113074,22.4916388,0.037129407,54.66911186,8.385,4.345
9,68,23,80,0.512747907,32.08954,0.276323551,14.03508772,25.82480091,0.031110099,113.7380438,11.27794118,6.3
80,5,15,80,0.596345349,86.7652,0.043787781,22.81976744,33.48571429,0.123107649,5.970950883,1.560294118,0.0525
35,50,15,80,0.55194186,52.7947,0.215602961,17.41935484,26.70454545,0.037785844,73.13225304,8.028970588,6.1525
38,24,38,80,0.515978605,51.96084,0.166500392,17.39130435,26.89530686,0.06243375,21.22958308,4.641029412,3.8975
6,78,16,80,0.521633953,30.76788,0.797519662,14.44444444,22.36095346,0.020847892,205.5031482,15.97867647,7.01
7,88,5,80,0.541236279,33.0047,0.947690089,11.95286195,21.88328912,0.020292979,234.9694985,16.64196078,8.54
16,32,52,80,0.470577674,33.46696,0.57219607,14.28571429,22.73730684,0.030474831,113.8149172,10.24602941,6.065
26,46,28,80,0.52106093,44.24924,0.326878777,16.2109375,31.15124153,0.037089956,75.95525613,8.318382353,6.3575
70,15,15,80,0.586477907,79.2162,0.068915048,21.82835821,32.41706161,0.099222917,9.60511894,2.186323529,6.29
60,10,30,80,0.551225581,69.6464,0.10922822,21.22370937,29.09090909,0.077283602,17.0852552,3.265735294,4.665
25,7,68,80,0.452381163,38.10554,0.297051661,17.76649746,27.44886975,0.05624152,25.54001277,5.265735294,3.7025
50,32,18,80,0.561666047,63.71404,0.179882801,21.70542636,24.055666,0.053098963,30.79489107,5.121029412,6.9725
50,18,32,80,0.537973488,61.82796,0.142248486,23.7695078,27.65151515,0.06192943,23.45641141,4.349264706,5.72
18,72,10,80,0.543628837,40.635,0.88974448,18.30508475,21.09090909,0.017743085,239.6631024,16.345,7.5075
13,12,75,80,0.428693953,28.1037,0.435523323,18.8034188,22.3671013,0.035871323,79.76298791,8.788235294,3.295
81,15,4,80,0.615947674,89.00202,0.026984995,27.80082988,34.48673587,0.196432778,2.489634194,0.925882353,3.645
65,30,5,80,0.598467442,76.7889,0.070698588,23.66412214,26.94552529,0.070834309,20.86745731,3.625147059,6.2875
30,60,10,80,0.555469767,49.6938,0.378806446,17.60435572,19.22330097,0.025167487,170.9443972,12.77544118,7.735
39,39,22,80,0.544042558,54.87126,0.243819366,19.61290323,20.97560976,0.042068941,48.97473377,7.312794118,5.64
6,7,87,80,0.401478837,21.20276,0.553907602,17.41233374,21.80595581,0.038685753,41.8944295,8.335441176,3.69
54,5,41,80,0.526689535,63.63508,0.097019189,27.45376956,26.5625,0.083484104,13.20001488,3.131911765,4.615
3,36,61,80,0.44251907,22.44078,0.732222787,14.50381679,19.31914894,0.030486083,114.510755,11.18191176,5.6175
30,70,0,80,0.572393023,51.041,0.632911924,18.70100784,19.38046068,0.021207407,189.221943,15.18044118,7.125
100,0,0,80,0.641465116,103.884,0.018843742,29.08680947,37.3502994,0.3119075,1.15198473,0.575,0.61
0,100,0,80,0.542790698,28.394,1.150285708,21.90942472,22.13570634,0.019455561,177.8092171,18.31720588,12.425
0,0,100,80,0.37355814,14.922,0.424388502,16.70281996,27.67605634,0.129936769,3.291613877,4.997058824,1.925
0,50,50,80,0.458174419,21.658,0.990469739,12.80487805,16.95652174,0.032660858,76.51306044,10.89617647,3.48
20,60,20,80,0.52867907,40.7976,0.716875287,15.90457256,18.19066148,0.036658427,44.91007706,8.652941176,5.685
22,20,58,80,0.466344186,37.18804,0.379107025,18.33976834,20,0.042003793,63.07489345,7.317205882,3.9175
0,70,30,80,0.49202093,24.3524,1.689218093,14.88033299,16.46811493,0.015875835,264.43953,21.88117647,13.54
0,30,70,80,0.424327907,18.9636,1.049428723,15.58823529,16.84470008,0.023684342,190.2448269,14.3872549,6.75
33.33,33.33,33.33,0,0.519219391,49.06176,0.951415809,15.11254019,31.42857143,0.092660208,9.115574279,2.415735294,0.27
70,0,30,0,0.561093023,77.1954,0.09950023,30,47.76119403,0.136482702,4.685650565,1.109705882,0.01
40,0,60,0,0.48072093,50.5068,0.415381274,21.93877551,42.81609195,0.093288949,9.142646918,1.985882353,0.0625
70,30,0,0,0.611862791,81.237,0.374146666,22.40802676,38.93442623,0.061232176,17.52341559,2.588088235,0.2025
40,50,10,0,0.565337209,57.2428,1.139189384,20.24793388,32.71221532,0.02266617,120.6293957,6.110882353,0.4025
60,20,20,0,0.568148837,70.9936,0.440565051,19.14893617,43.16939891,0.049263677,23.5362863,2.996470588,0.25
10,50,40,0,0.484965116,30.5542,2.683005525,18.37160752,38.00424628,0.028216242,97.88864276,4.943382353,0.1275
20,20,60,0,0.460986047,35.4088,1.811520979,9.333333333,40.59405941,0.039744433,35.94566283,3.532205882,0.15
45,15,40,0,0.519501163,56.9757,0.238737022,17.43341404,40.12345679,0.074980415,12.51226405,1.931617647,0.055
20,55,25,0,0.520217442,40.124,1.043711592,13.84083045,22.3880597,0.074988269,11.20304327,2.625147059,0.13
10,35,55,0,0.459580233,28.5334,1.613304778,7.901234568,23.99049881,0.043179746,34.10909405,3.317205882,0.075
30,70,0,0,0.572393023,51.041,1.076975189,15.24926686,30.10033445,0.030085968,50.45467217,4.838823529,0.06
100,0,0,0,0.641465116,103.884,0.043541527,35.41666667,53.7037037,0.203793333,2.459976035,0.73,0
0,100,0,0,0.542790698,28.394,1.165006548,10.67285383,23.40909091,0.061392361,21.39618171,2.292941176,0.02
0,0,100,0,0.37355814,14.922,0.741020452,14.70588235,24.00990099,0.167495139,3.549484913,0.980588235,0.005
10,85,5,0,0.544196512,35.2694,1.64703924,10.07194245,25.26315789,0.033429044,64.49447254,4.0825,0.135
15,70,15,0,0.532206977,37.6967,1.661495441,9.756097561,20.34313725,0.033264325,58.81323985,4.118382353,0.165
0,70,30,0,0.49202093,24.3524,3.000581812,7.692307692,11.8902439,0.068290359,18.23111844,2.03,0.015
0,30,70,0,0.424327907,18.9636,2.984793696,7.286432161,17.98029557,0.082477679,13.13324329,1.725441176,0.01
55,35,10,0,0.580138372,68.5663,0.513566896,15.38461538,31.7961165,0.046753678,29.29691728,3.137205882,0.22
